동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@냥아치-z2b,@더나은-i5c 춤 추는거 함 보고오면 생각 달라질걸요 살이 좀 있긴하지만 춤선이랑 느낌이 다른 아이돌들보다 훨씬 더 좋게 느껴짐,28,2025-02-24T12:53:47Z,0,UgznhpluTDemlpXuSX14AaABAg.AByXEjlHY4-AEvhllk1-mO,Yg_AOZjHt3M,UCzaBFLMnV53ecSf6zRdfKZA,2025-02-24T12:53:47Z,UgznhpluTDemlpXuSX14AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@양산마취총배진솔,@더나은-i5c춤 ㅈㄴ잘춤 ㅂ신아,0,2025-02-26T05:40:12Z,0,UgznhpluTDemlpXuSX14AaABAg.AByXEjlHY4-AF-4jrkDLHJ,Yg_AOZjHt3M,UCgVLde4ywVDlDgrJ0CBc6qw,2025-02-26T05:40:12Z,UgznhpluTDemlpXuSX14AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@hsb9904,"몰입감의 차이라고 생각함.
축구를 보고도 ""그냥 공놀이인데 왜 열광함?""
게임을 보고도 ""데이터 쪼가리인데 거따 돈써?""
아이돌 보고도 ""예쁘긴한데 쟤랑 사귈수있음?""
버튜버 보고도 ""저 안에 누가 들어있는줄 알고?""

딥한 영역일수록 몰입하기 힘들어지는 차이일뿐임. 물리적이고 현실적일수록 몰입이 쉽고 그렇지않을수록 어려워지는거임. 그 기준 선은 사람마다 다른거고

본인이 직접행하고 물질적인 이득을 주는 행위만 즐기는 사람은 몰입의 기준이 엄격한거고

남이 해도 좋고 물질적이지 않아도 몰입할수있는 사람은 몰입의 기준이 낮은거임.

먹방만 해도 남이 처먹는걸 봐서 뭐하냐는 사람도 있고 눈앞에 음식있는거마냥 미치려하는 사람도 있고 다 다른거지 뭐",1572,2024-12-12T08:19:01Z,27,Ugw6pec2EJ3X2NwoSQ54AaABAg,Yg_AOZjHt3M,UCBKfTNOBMVrPIrJm7n2TQ-Q,2024-12-12T08:19:01Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@lifehalfbat,이거지,65,2024-12-14T02:52:00Z,0,Ugw6pec2EJ3X2NwoSQ54AaABAg.ABwfVUuzzcxAC0Ef61xqt5,Yg_AOZjHt3M,UCOZoWcstR9lG8VvtJpi2PGQ,2024-12-14T02:52:00Z,Ugw6pec2EJ3X2NwoSQ54AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@노상철-m7i,ㅇㅇ하지만 뭐를 좋아하는가에 따라 그 사람의 취향이나 수준이 나오는거고 그로 인한 편견은 본인이 감사해야지 현실에서 버튜버 좋아한다고 광고하고 다니는 사람들은 거의 없잖아 축구나 헬스는 많지만,17,2024-12-14T03:52:29Z,0,Ugw6pec2EJ3X2NwoSQ54AaABAg.ABwfVUuzzcxAC0La5VhKWz,Yg_AOZjHt3M,UC1xbVSlAqYLHF9e4MwqVjDg,2024-12-14T03:52:29Z,Ugw6pec2EJ3X2NwoSQ54AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@모아이-d3h,"​@노상철-m7i취향과 수준을 연결시키는 건 좀 너무 과한 거 아닐까요..?? 
취향으로 인한 선입견을 가질수는 있다지만 그걸로 수준까지 판단하지는 않을 것 같아요",155,2024-12-14T09:24:04Z,0,Ugw6pec2EJ3X2NwoSQ54AaABAg.ABwfVUuzzcxAC0wXmC0m0G,Yg_AOZjHt3M,UCJ32gFvGhZxKxMB0NoGlriA,2024-12-14T09:24:04Z,Ugw6pec2EJ3X2NwoSQ54AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@내년-e5h,"@노상철-m7i 좋아하는걸 굳이 광고해야할 이유가 있나요?
그리고 당신같이 편견을 갖고 보는 사람들때문에 말 안하는 사람도 있을 겁니다. ㅋㅋㅋ",106,2024-12-14T13:57:37Z,0,Ugw6pec2EJ3X2NwoSQ54AaABAg.ABwfVUuzzcxAC1QqFajuYj,Yg_AOZjHt3M,UCB_L9ban9ttEqn9NkPUNJYA,2024-12-14T13:57:37Z,Ugw6pec2EJ3X2NwoSQ54AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@user-bf5mi6op3v,​@노상철-m7i감사가 아니라 감수겠지. 다른 사람들이 뭘 보든 그 취향을 수준으로 연결시키려 하는 생각과 기본적인 단어선택부터 본인 수준 보여주네...,75,2024-12-15T04:26:18Z,0,Ugw6pec2EJ3X2NwoSQ54AaABAg.ABwfVUuzzcxAC2zFetNJf4,Yg_AOZjHt3M,UCzQgGNj9zqvSk_YSN88FmnQ,2024-12-15T04:26:18Z,Ugw6pec2EJ3X2NwoSQ54AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@랑콤-l8z,"처음에 슈퍼주니어 나왔을 때 13명이나 있는 아이돌이 무슨 가수냐 이름도 못 외운다, 신동은 얼굴도 아이돌 얼굴도 아니다. 편견의 시선 엄청 많았으니...
신동도 다른 사회의 변화를 잘 포용해주는 듯",420,2025-03-04T04:56:54Z,0,Ugw5HXCmFOyp19e8Jyp4AaABAg,Yg_AOZjHt3M,UCgQyrjwe4tFpGrCusIsvxGA,2025-03-04T04:56:54Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@어제거기서만나요,"지금은 프로게이머라는 직업을 모르는 사람이 없음. 근데 몇십년 전 임요환이 프로게이머라는 직업을 막 알리기 시작할 무렵에는 '연봉을 게임 머니로 받냐?' 같은 쌉소리를 공중파 엠씨들이 질문이랍시고 던지던 시절이었음. 그냥 게임 중독자다, 뭔 게임하면서 돈을 받냐 그게 직업이냐 같은 소리도 있었고. 그런데 지금은 페이커 모르는 한국인 없을 정도로 유명하고 오히려 해외팬이 더 많음. 버츄얼 아이돌도 지금 딱 임요환 같은 시점인 거임.

그게 무슨 아이돌이냐, 얼굴 가리고 활동을 어떻게 하냐, 가상으로 만든 얼굴 보고 잘생겼다고 좋아하는 거 이해 안간다, 미친 거 같다........ 10년만 지나면 그런 소리 쑥 들어갈 거임. 물론 아직은 음지 문화쪽에 가깝지만 이미 가상 세계에 대한 수요와 공급은 꾸준히 저변을 넓히고 있는 중임. 앉아서 게임만 해도 돈을 버는 시대에 버츄얼이라고 해서 아이돌 못하라는 법은 없는 거고, 수요가 있으니 공급도 존재하는 것임.",311,2025-04-08T16:35:06Z,1,UgzKN1Rlf12kpVCEUr14AaABAg,Yg_AOZjHt3M,UChLJ1ML_gNHiUlL9yJg7WHg,2025-04-08T16:36:24Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@ThevelvetundergroundnNico,애초에 아이돌이라는게 음지 문화인데 뭐ㅋㅋㅋ,0,2026-01-18T11:35:38Z,0,UgzKN1Rlf12kpVCEUr14AaABAg.AGepHNtsldvAS78ZKHKGSi,Yg_AOZjHt3M,UCKg6BCJfI9l81WZoBxMC5lQ,2026-01-18T11:35:38Z,UgzKN1Rlf12kpVCEUr14AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@qqwweewwqq632,"20년전만해도 '아이돌이 무슨 가수냐, 개나소나 가수 하냐?'라고 아이돌 욕하던 인간들이 갑자기 bts, 블랙핑크 등등 해외에서 먹히니까 아이돌을 신성화하고 찬양하면서 개나소나 아이돌 하냐고 버추얼 까는게 ㅈㄴ 웃김. 그냥 인기 있으면 아이돌이고 음원 잘 팔리면 가수아님? 아이돌의 기준이 뭔데?",527,2024-12-12T11:55:39Z,14,Ugz2DEwrnY-r2WeiKxx4AaABAg,Yg_AOZjHt3M,UCOHO9S81ItxZviDqhN_LhEg,2024-12-12T11:55:39Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@박박박-k9b,최초의 버츄얼 아이돌은 아담인가 있지 않았나요? 그 뭐 있던걸로 아는데 아담이 맞는지 모르겠네요,3,2024-12-13T04:49:43Z,0,Ugz2DEwrnY-r2WeiKxx4AaABAg.ABx3IBM06V6ABysLW6Fvm2,Yg_AOZjHt3M,UC025MXlt7CPoo5Wq-oFjYVA,2024-12-13T04:49:43Z,Ugz2DEwrnY-r2WeiKxx4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@T1_and_Only,"그 사람들은 지금도 bts 버추얼 가리지 않고 가수 취급 안하고, 아이돌 성역화 주도층은 아이러니하게도 아이돌 팬덤들임. 아이돌, 가수 기원도 모르고 버추얼, 여캠들은 급이 안맞다고 아이돌 취급 안하겠다는 것들ㅋㅋㅋ",6,2025-02-27T00:29:55Z,0,Ugz2DEwrnY-r2WeiKxx4AaABAg.ABx3IBM06V6AF1616HQbSH,Yg_AOZjHt3M,UCwAobfW7gO2NFhfuoSZYbSg,2025-02-27T00:29:55Z,Ugz2DEwrnY-r2WeiKxx4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@TheFirenick,"아이돌은 핑클, SES 까지 올라가는데",0,2025-03-02T08:48:21Z,0,Ugz2DEwrnY-r2WeiKxx4AaABAg.ABx3IBM06V6AF9iSSgIL9F,Yg_AOZjHt3M,UCPhKWns_N6g2xM_HnRDFulQ,2025-03-02T08:48:21Z,Ugz2DEwrnY-r2WeiKxx4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@싱클레어_아내,에초에 아이돌 뜻이 우상 아닌가? 누군가의 우상이면 아이돌이지 뭐..,22,2025-04-22T11:24:22Z,0,Ugz2DEwrnY-r2WeiKxx4AaABAg.ABx3IBM06V6AHDJqilpstL,Yg_AOZjHt3M,UCLELHlDBJHHV9Ije7uuX0fA,2025-04-22T11:24:22Z,Ugz2DEwrnY-r2WeiKxx4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@thinker--,틀딱들 계속 떠들라고 하셈 비어있는 자리 내가 입덕할거니까 ㅋㅋ,0,2025-04-23T23:37:53Z,0,Ugz2DEwrnY-r2WeiKxx4AaABAg.ABx3IBM06V6AHHC_zqo_-u,Yg_AOZjHt3M,UCF9deEOtFSTDC9ROvVx8d2A,2025-04-23T23:37:53Z,Ugz2DEwrnY-r2WeiKxx4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@정현컨볼유튜브,"그냥 존중만 하면 됨
차별하면 안되는 거고",280,2025-02-24T05:09:09Z,14,Ugxh9PcPdwFYK7Hyt714AaABAg,Yg_AOZjHt3M,UCNDVOTuE_RFI4fLpjGc-5ag,2025-02-24T05:09:09Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@비망록-x4d,존중할걸 해야지,19,2025-04-10T11:48:14Z,0,Ugxh9PcPdwFYK7Hyt714AaABAg.AEusadiCm9PAGjT1z-_9Uf,Yg_AOZjHt3M,UCwzITRTeQrvYbuvbEOpLjOg,2025-04-10T11:48:14Z,Ugxh9PcPdwFYK7Hyt714AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@죠죠-o6h,@비망록-x4d 무슨의민지는 모르겠지만 너보다 존중받고 잘살고있음 ㅋㅋ,45,2025-04-21T19:49:23Z,0,Ugxh9PcPdwFYK7Hyt714AaABAg.AEusadiCm9PAHBdqhF2Z12,Yg_AOZjHt3M,UCi1SLLdRLjadzuhpLSMft6g,2025-04-21T19:49:23Z,Ugxh9PcPdwFYK7Hyt714AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@죠죠-o6h,니사생활뭐하는지 모르겠는데 너보다  존중받고 뭘해도 너보다 스포트라이트임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2025-04-21T19:50:55Z,0,Ugxh9PcPdwFYK7Hyt714AaABAg.AEusadiCm9PAHBe0y4pahs,Yg_AOZjHt3M,UCi1SLLdRLjadzuhpLSMft6g,2025-04-21T19:50:55Z,Ugxh9PcPdwFYK7Hyt714AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@죠죠-o6h,@비망록-x4d 한마디로 뷰유유유유유유융신임,2,2025-04-21T19:51:21Z,0,Ugxh9PcPdwFYK7Hyt714AaABAg.AEusadiCm9PAHBe46wGfNG,Yg_AOZjHt3M,UCi1SLLdRLjadzuhpLSMft6g,2025-04-21T19:51:21Z,Ugxh9PcPdwFYK7Hyt714AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@wjxowns9si,​@죠죠-o6h부들부들 떨어버리시네 ㅋㅋㅋ,6,2025-05-29T11:28:38Z,0,Ugxh9PcPdwFYK7Hyt714AaABAg.AEusadiCm9PAIhakKIgaVi,Yg_AOZjHt3M,UCcZx8tozS9MZpRCxTqKjNMA,2025-05-29T11:28:38Z,Ugxh9PcPdwFYK7Hyt714AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@sssss5-y5v,좋아하는 사람은 그냥 계속 좋아하면 되고 마음에 안 드는 사람들은 무시하면 그만임 난 버츄얼 아이돌을 파지는 않는데 이해는 함... 좋아할 수 있는 거 아닌가? 남들이 좋아한다고 나한테 뭔 피해가 오는 것도 아니고 그런가보다 하면서 사는 거지ㅋㅋㅋ... 왜 까지 못해서 안달일까,190,2025-02-24T06:19:36Z,6,UgxY6WZjQUV6g9FNH_F4AaABAg,Yg_AOZjHt3M,UCHpMNq9yExbtyacwpdHeLow,2025-02-24T06:19:36Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@acoldhaughtywoman,공감합니다!!!👍👍👏👏,4,2025-03-17T06:54:22Z,0,UgxY6WZjQUV6g9FNH_F4AaABAg.AEv-ecFf35JAFl8KiowhJv,Yg_AOZjHt3M,UCiuI_cdDYL5O5hDIhzS6Bsw,2025-03-17T06:54:22Z,UgxY6WZjQUV6g9FNH_F4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@Binnaeng,쟤네 팬이 문제임 ㅋㅋ,3,2025-03-27T07:59:14Z,0,UgxY6WZjQUV6g9FNH_F4AaABAg.AEv-ecFf35JAGA-hU1m2pn,Yg_AOZjHt3M,UCBeh8Pz7hgNzqrZFQybi3kg,2025-03-27T07:59:14Z,UgxY6WZjQUV6g9FNH_F4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@어제거기서만나요,@Binnaeng  어느 아이돌이나 극성팬들은 같은 팬덤 안에서도 싫어합니다. 그리고 플레이브 팬덤이 예민한 건 좀 어쩔 수 없어요. 그냥 숨만 쉬어도 개쌍욕 퍼붓고 저주하는 애들이 수시로 와서 긁어대니 무시하고 싶어도 무시할 수가 없음. 걍 내가 좋아하겠다는데 정신 나갔다느니 두꺼비집 내리면 없어질 A.I 따위에(안에 사람 있다는 거 뻔히 알면서도) 무슨 아이돌이라고 하냐면서 온갖 억까를 다 하는데 ㅋㅋㅋ,64,2025-04-08T16:39:50Z,0,UgxY6WZjQUV6g9FNH_F4AaABAg.AEv-ecFf35JAGepp1VYcGb,Yg_AOZjHt3M,UChLJ1ML_gNHiUlL9yJg7WHg,2025-04-08T16:39:50Z,UgxY6WZjQUV6g9FNH_F4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@junwonpark7996,솔직히 말하면 버추얼이나 일반 아이돌이나 별 차이없음 아이돌들도 얼굴 고치고 성형 싹 다 함 그러고 환상+성적 매력을 파는거임.,17,2025-04-12T17:04:37Z,0,UgxY6WZjQUV6g9FNH_F4AaABAg.AEv-ecFf35JAGpAq2GbO38,Yg_AOZjHt3M,UC2hXoKeNpVAz8HfqKGlfEEQ,2025-04-12T17:04:37Z,UgxY6WZjQUV6g9FNH_F4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@나-x5r7m,"버추얼 아이돌 팬인데 기타 다른 아이돌들도 여럿 좋아하는 잡덕으로서 극성팬, 잼민이팬과 아줌마팬은 모든 팬덤에 존재함..ㄹㅇ로",21,2025-05-01T16:28:28Z,0,UgxY6WZjQUV6g9FNH_F4AaABAg.AEv-ecFf35JAHa1nvViY8O,Yg_AOZjHt3M,UCgoInZP1MEXesNjkb0uhPUA,2025-05-01T16:28:28Z,UgxY6WZjQUV6g9FNH_F4AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@팬교-e6t,"아이돌은 우상, 다시 말해 많은 사람들로부터 신처럼 숭배를 받거나 사랑을 받는 존재이기 때문에 버추얼도 아이돌이 맞죠.",25,2024-12-16T01:16:57Z,0,UgzvAn04_9j0AFe2HzF4AaABAg,Yg_AOZjHt3M,UCTmjAXCpBgOZSYYYZtkGtxw,2024-12-16T01:21:05Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@Ssunt,좋아하는건 이해하는데 현실화가 안되는게 많으니 그 이질감에 대한 호불호는 어쩔수 없는듯,85,2024-12-13T16:01:35Z,3,UgyvR1LHT0bFY2uyubF4AaABAg,Yg_AOZjHt3M,UCuZzyVbtJf8jfrXvkQuiulQ,2024-12-13T16:01:35Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@ksijssiw,호불호수준이 아니라 인스타나 틱톡보면 진심 악의가 가득함,41,2025-04-24T23:03:58Z,0,UgyvR1LHT0bFY2uyubF4AaABAg.AC-4EJI3ArZAHJiVVX-GDy,Yg_AOZjHt3M,UCAzZx7ju2YYCKKaC1z6PdUQ,2025-04-24T23:03:58Z,UgyvR1LHT0bFY2uyubF4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@나-x5r7m,"지금 버추얼 팬들 대부분도 처음 봤을 땐 불호였을거임. 나도 지금은 팬인데 초반에 인상찌푸리면서 채널 추천안함 여러 번 누르고 다녔었음

이건 당연한 건데 ㄹㅇ 불호를 넘어서서 그들이 나오는 영상은 절대 지나치지 못하고 조롱의 한마디를 남겨야만 하는 사람들이 많음 특히 인스타에.. 그런 애들은 버추얼뿐 아니라 이곳저곳의 사람들을 쉽게 재단하고 비웃는 걸 좋아함",16,2025-05-01T16:23:54Z,0,UgyvR1LHT0bFY2uyubF4AaABAg.AC-4EJI3ArZAHa1HOlHHYR,Yg_AOZjHt3M,UCgoInZP1MEXesNjkb0uhPUA,2025-05-01T16:24:13Z,UgyvR1LHT0bFY2uyubF4AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@maehwa1218,이것도 다 한떄일거임 결국 왜 버츄얼전에 이런 포지션에서 매맞던게 게임과 애니 이런거였음 그당시 애니 좋아한다 그러면 오타쿠 지금이야 오타쿠 씹덕 이런게 그냥 가볍게 받아들여지는게 아닌 진짜 사회부적응자 이런느낌도 좀 있었음 근데 이젠 어떻게됨? 많은 사람들이 게임을 즐기고 애니를 보니까 저런 단어들도 결국 가볍게 받아들여지게 된거임 버튜버들도 시간이 지나면 다 자연스레 받아들여 질거임,3,2025-09-25T19:08:23Z,0,UgyvR1LHT0bFY2uyubF4AaABAg.AC-4EJI3ArZANVpxp4f62S,Yg_AOZjHt3M,UCIFrmV10VOOYsdBanw5zayw,2025-09-25T19:08:23Z,UgyvR1LHT0bFY2uyubF4AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@blue_half_moon_bear,역시 신동 진정한 아이돌 멋지다.,41,2025-01-04T01:37:36Z,0,Ugxg_hQDK_34Qz-W1Dd4AaABAg,Yg_AOZjHt3M,UCstUBPzXoCNVsHIA6N6guow,2025-01-04T01:37:36Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@dum5083,속시원한 발언이긴 하다 ㅋㅋㅋㅋ,8,2025-03-28T08:51:54Z,0,UgwIlCvyys0olIJTZIF4AaABAg,Yg_AOZjHt3M,UCDtUhXu4UhesWxgggwl9W6Q,2025-03-28T08:51:54Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@이선우-k5s,"관점을 그 안에 사람이 아니라 그 캐릭터를 본다면 버츄얼 시장도 재밋는 요소임
나도 처음엔
 ""와 진짜 저런 거 좋아 하는 애들 다 씝덕 같은데 도대체 왜 좋아 하는거지? 좋아 할 이유가 없는데""  
이런 생각이였는데 단순하게 생각 하면 우리가 애니 캐릭터 좋아 하는 것 처럼 그냥 우리랑 대화 하는 애니 캐릭터라고 생각 하면서 보니깐 재밋긴 함 그 버튜버가 쿵스건 존예건 그렇게까지 중요하진 않은 듯",13,2025-02-24T01:09:49Z,0,Ugz7Ugkuh9JkWVa4xHh4AaABAg,Yg_AOZjHt3M,UCdIFjmX-YebKQQNutwFcCVA,2025-02-24T01:09:49Z,,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@brettastia,시대의 수요 속에서 나오는게 직업이고 큰 인기로 증명해줬으니까 인정해야한다고 느낍니당,5,2025-03-24T09:00:24Z,0,Ugx6elc-5BaJisSxY3F4AaABAg,Yg_AOZjHt3M,UCfzTGYFnS6rCp0VcGUoPPyw,2025-03-24T09:00:24Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@kijunum4904,신동이 한창 아이돌 이미지에서 가장 다르게 나왔던 사람이기도 해,26,2024-12-13T10:21:12Z,0,UgzO1x97zCVMFKLPvrh4AaABAg,Yg_AOZjHt3M,UCB5FZj83iRPpqvQx4erEsRg,2024-12-13T10:21:12Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@IlIlIlllllIIIlIIIll,"아이돌도 몇년전만해도 딴따라 소리듣고 개무시당하고 지금도 배우 아이돌 급나눠서 무시당하고..ㅋㅋㅋ 어디서든 무시만 안하면되는데 그 간단한걸 모름 무언가를 무시하면 나도 반드시 어디에선가 차별을 받고 무시를 당할수 있단걸 기억해야됨
2세대 아이돌때부터 덕질햇었는데 지쨔 그때 생각하면 ㅠㅠㅋㅋㅋ 괜히 그때 아이돌들이 독기품고 쌩라 갈겼던게 아님....",17,2025-06-24T02:03:10Z,1,UgxBo4vqEzzwPf9bFQt4AaABAg,Yg_AOZjHt3M,UCThFyNZalzqZS7Hd1rUzqwQ,2025-06-24T02:03:10Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@ThevelvetundergroundnNico,딴따라는 아이돌만 그런게 아니라 음악 아티스트 전체를 말하는거 아님? 현대의 광대잖음 근데 뭐 어떰,0,2026-01-18T11:37:11Z,0,UgxBo4vqEzzwPf9bFQt4AaABAg.AJjXhVqUAXtAS78jiDYQVf,Yg_AOZjHt3M,UCKg6BCJfI9l81WZoBxMC5lQ,2026-01-18T11:37:11Z,UgxBo4vqEzzwPf9bFQt4AaABAg,중립
